datetime,respondent_code,value
2024-09-09 21:00:00,NE,12590
2024-09-09 22:00:00,NE,12097
2024-09-09 22:00:00,NE,13779
2024-09-09 22:00:00,NE,-1682
2024-09-09 22:00:00,NE,13880
2024-09-09 23:00:00,NE,-1389
2024-09-09 23:00:00,NE,12984
2024-09-09 23:00:00,NE,14370
2024-09-09 23:00:00,NE,14373
2024-09-10 00:00:00,NE,-1524
2024-09-10 00:00:00,NE,12994
2024-09-10 00:00:00,NE,14440
2024-09-10 00:00:00,NE,14518
2024-09-10 01:00:00,NE,-1567
2024-09-10 01:00:00,NE,12435
2024-09-10 01:00:00,NE,14020
2024-09-10 01:00:00,NE,14002
2024-09-10 02:00:00,NE,13100
2024-09-10 02:00:00,NE,13078
2024-09-10 02:00:00,NE,-1174
2024-09-10 02:00:00,NE,11904
2024-09-10 03:00:00,NE,-1177
2024-09-10 03:00:00,NE,10814
2024-09-10 03:00:00,NE,11980
2024-09-10 03:00:00,NE,11991
2024-09-10 04:00:00,NE,-1177
2024-09-10 04:00:00,NE,10075
2024-09-10 04:00:00,NE,11050
2024-09-10 04:00:00,NE,11252
2024-09-10 05:00:00,NE,10986
2024-09-10 05:00:00,NE,-1307
2024-09-10 05:00:00,NE,9679
2024-09-10 05:00:00,NE,10350
2024-09-10 06:00:00,NE,-1434
2024-09-10 06:00:00,NE,9218
2024-09-10 06:00:00,NE,9900
2024-09-10 06:00:00,NE,10652
2024-09-10 07:00:00,NE,10555
2024-09-10 07:00:00,NE,9061
2024-09-10 07:00:00,NE,-1494
2024-09-10 07:00:00,NE,9640
2024-09-10 08:00:00,NE,-1538
2024-09-10 08:00:00,NE,8911
2024-09-10 08:00:00,NE,9550
2024-09-10 08:00:00,NE,10449
2024-09-10 09:00:00,NE,-1493
2024-09-10 09:00:00,NE,9137
2024-09-10 09:00:00,NE,9810
2024-09-10 09:00:00,NE,10630
2024-09-10 10:00:00,NE,10636
2024-09-10 10:00:00,NE,-1003
2024-09-10 10:00:00,NE,9633
2024-09-10 10:00:00,NE,10540
2024-09-10 11:00:00,NE,-805
2024-09-10 11:00:00,NE,10794
2024-09-10 11:00:00,NE,11630
2024-09-10 11:00:00,NE,11599
2024-09-10 12:00:00,NE,12030
2024-09-10 12:00:00,NE,-822
2024-09-10 12:00:00,NE,11208
2024-09-10 12:00:00,NE,12010
2024-09-10 13:00:00,NE,-386
2024-09-10 13:00:00,NE,11022
2024-09-10 13:00:00,NE,11450
